clean_tweets,label
Americans apparently even dumber I thought,surprise
feelin cos miss hobi 🥺,surprise
either tried one ...,surprise
They ’ brainwashed think ’ handled well,surprise
Always said dont love anyone anymore decent thing tell deserve know star…,surprise
responsible pnr issued I approach air india washed h…,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
Listen Be Gone Tigga Fey …,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More …,fear
There PLENTY I say PLENTY food amp provisions SUPPLY CHAIN supermarkets- reason empty shelve…,fear
Pic NOT colleague Posted physician group Feeling beyond concern More …,fear
protests continue Friday prayers become focal point protests since 🇮🇳 ’ decision …,fear
Bloody disgraceful Another business ignored,fear
The Epic Mental Framework You Need To Master Any Skill Defeat Fear Uncertainty Josh Kaufman…,fear
David Icke -- The Truth Behind The Coronaviru…,fear
protests continue Friday prayers become focal point protests since 🇮🇳 ’ decisio…,fear
EVACUATING PLANET EARTH …,fear
EVACUATING PLANET EARTH …,fear
FOR YOUR PROTECTION LOCKDOWN FOR SAFET…,fear
/10 Then added ultimate Alternating days…,fear
Attack fear today Want condition grow Find way make palms sweat heart race and…,fear
amp …,fear
make stupid make grease allows society 's wheels run a…,fear
“ Too many us living dreams living fears. ” Les Brown Seeing talented people give i…,fear
Okay today onward I 'm gon na call office depressing chamber I lit worked alone since last year My colleagu…,fear
Which Service Get Steps CK CS…,fear
Burgum urges 'facts briefing business civic leaders Mar :26 AM ET,fear
Lets make another greedy person twitter famous 🤬🤬 Taking advantage people ht…,fear
Just taking nap eating strawberry jam …,angry
dat nota Monroe syn I 'm hungry amp chick double XL,angry
Probably best value online group world He…,angry
It ’ bullshit gets test I know people den…,angry
Got water I ca n't leave room since 's corpse impaler,angry
Got water I ca n't leave room since 's corpse impaler,angry
cancel congestion ULEZ charge n't use TFL This government directive man…,angry
Of course MELODY LANE 's sire ORFEVRE Hanshin Diashoten family history there…,angry
next epidemic outbreak back still ready ... …,angry
Tim Kaine ’ see good sat front Keep lying spreading hate Democrat,angry
You need Hard type Beats ‍️ Check link …,angry
Our brand new Our turned upside times must m…,angry
A.S.H.N.Y We All Mad,angry
This makes worry Lisa Cornwall going end worse ever…,angry
positive make playoffs year without Bill ashamed himse…,angry
policy cut phone dead minutes waiting cue talk busi…,angry
sense urgency ... The worst client services I ever deal I need parents…,angry
On way teach last session school close Problem train packed pensione…,angry
universal credit calculation ca n't used n't British Irish citizen I wonder hel…,angry
So internet dropping since start week I pay extra ‘ monitored ’ line…,angry
